numéro,pays,ligue,année,clubs,liens
1823665,Allemagne,Oberliga,2024-2025,Tsv Landsberg Sv Erlbach,/matches/1823665/live/allemagne-oberliga-2024-2025-tsv-landsberg-sv-erlbach
1823667,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen Sv Kirchanschoering,/matches/1823667/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-sv-kirchanschoering
1823671,Allemagne,Oberliga,2024-2025,Fc Sonthofen Tuerkspor Augsburg,/matches/1823671/live/allemagne-oberliga-2024-2025-fc-sonthofen-tuerkspor-augsburg
1823672,Allemagne,Oberliga,2024-2025,Fc Pipinsried Tsv Landsberg,/matches/1823672/live/allemagne-oberliga-2024-2025-fc-pipinsried-tsv-landsberg
1823674,Allemagne,Oberliga,2024-2025,Tuerkspor Augsburg Tsv Landsberg,/matches/1823674/live/allemagne-oberliga-2024-2025-tuerkspor-augsburg-tsv-landsberg
1823675,Allemagne,Oberliga,2024-2025,Fc Memmingen Sv Heimstetten,/matches/1823675/live/allemagne-oberliga-2024-2025-fc-memmingen-sv-heimstetten
1823676,Allemagne,Oberliga,2024-2025,Sv Erlbach Fc Memmingen,/matches/1823676/live/allemagne-oberliga-2024-2025-sv-erlbach-fc-memmingen
1823677,Allemagne,Oberliga,2024-2025,Tsv Rain Lech Tsv 1861 Noerdlingen,/matches/1823677/live/allemagne-oberliga-2024-2025-tsv-rain-lech-tsv-1861-noerdlingen
1823678,Allemagne,Oberliga,2024-2025,Sv Heimstetten Tsv 1861 Noerdlingen,/matches/1823678/live/allemagne-oberliga-2024-2025-sv-heimstetten-tsv-1861-noerdlingen
1823679,Allemagne,Oberliga,2024-2025,Fc Ismaning Fc Memmingen,/matches/1823679/live/allemagne-oberliga-2024-2025-fc-ismaning-fc-memmingen
1823680,Allemagne,Oberliga,2024-2025,Fc Ismaning Fc Deisenhofen,/matches/1823680/live/allemagne-oberliga-2024-2025-fc-ismaning-fc-deisenhofen
1823681,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Tsv Kottern,/matches/1823681/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-tsv-kottern
1823682,Allemagne,Oberliga,2024-2025,Tsv Landsberg Tsv Kottern,/matches/1823682/live/allemagne-oberliga-2024-2025-tsv-landsberg-tsv-kottern
1823683,Allemagne,Oberliga,2024-2025,Fc Deisenhofen Tsv Rain Lech,/matches/1823683/live/allemagne-oberliga-2024-2025-fc-deisenhofen-tsv-rain-lech
1823684,Allemagne,Oberliga,2024-2025,Fc Pipinsried Tuerkspor Augsburg,/matches/1823684/live/allemagne-oberliga-2024-2025-fc-pipinsried-tuerkspor-augsburg
1823685,Allemagne,Oberliga,2024-2025,Fc Pipinsried Fc Sonthofen,/matches/1823685/live/allemagne-oberliga-2024-2025-fc-pipinsried-fc-sonthofen
1823686,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering Unterhaching Ii,/matches/1823686/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-unterhaching-ii
1823687,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering Sv Schalding Heining,/matches/1823687/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-sv-schalding-heining
1823688,Allemagne,Oberliga,2024-2025,Tsv Rain Lech Fc Sonthofen,/matches/1823688/live/allemagne-oberliga-2024-2025-tsv-rain-lech-fc-sonthofen
1823689,Allemagne,Oberliga,2024-2025,Fc Deisenhofen Tsv Gruenwald,/matches/1823689/live/allemagne-oberliga-2024-2025-fc-deisenhofen-tsv-gruenwald
1823690,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Sv Schalding Heining,/matches/1823690/live/allemagne-oberliga-2024-2025-tsv-gruenwald-sv-schalding-heining
1823691,Allemagne,Oberliga,2024-2025,Unterhaching Ii Tuerkspor Augsburg,/matches/1823691/live/allemagne-oberliga-2024-2025-unterhaching-ii-tuerkspor-augsburg
1823692,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen Tsv Gruenwald,/matches/1823692/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-tsv-gruenwald
