league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,51,0:1,Frank Magri - Passe décisive : Cristian Cásseres Jr.,Goal,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,57,0:2,Vincent Sierro,Goal,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,58,0:2,Yahia Fofana,Yellow Card,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,66,0:2,Carlens Arcus pour Zinedine Ferhat,Substitute,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,69,0:2,Yann Gboho pour Shavy Babicka,Substitute,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,71,0:3,Charlie Cresswell,Goal,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,72,0:3,Pierrick Capelle pour Jean-Eudes Aholou,Substitute,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,72,0:3,Justin-Noël Kalumba pour Farid El Melali,Substitute,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,76,0:3,Jaydee Canvot pour Vincent Sierro,Substitute,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,76,0:3,Waren Kamanzi pour Rafik Messali,Substitute,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,76,0:3,Noah Edjouma pour Frank Magri,Substitute,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,83,0:3,Marius Courcoul pour Yassin Belkhdim,Substitute,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,83,0:3,Miha Zajc pour Cristian Cásseres Jr.,Substitute,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,84,0:3,Waren Kamanzi,Yellow Card,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,94,0:4,Noah Edjouma - Passe décisive : Waren Kamanzi,Goal,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,96,0:4,Pierrick Capelle,Yellow Card,Angers,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Jeremy Stinat,Stade Raymond Kopa,Angers,Toulouse,96,0:4,Yann Gboho,Yellow Card,Toulouse,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,24,0:0,Pol Lirola pour Michael Amir Murillo,Substitute,Marseille,https://fbref.com/fr/matchs/ef2b73e7/Marseille-Nantes-2-Mars-2025-Ligue-1
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,37,0:0,Pierre Højbjerg,Yellow Card,Marseille,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,46,0:0,Kelvin Amian pour Francis Coquelin,Substitute,Nantes,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,51,0:0,Kelvin Amian,Yellow Card,Nantes,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,58,0:0,Valentin Rongier pour Ismaël Bennacer,Substitute,Marseille,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,59,0:0,Amar Dedić pour Quentin Merlin,Substitute,Marseille,
